data:max_stress_yy:value,data:max_vonmises_stress:value,data:p1_stress_yy:value,data:p1_vonmises_stress:value,data:p2_stress_yy:value,data:p2_vonmises_stress:value,data:p3_stress_yy:value,data:p3_vonmises_stress:value,data:p4_stress_yy:value,data:p4_vonmises_stress:value,data:p5_stress_yy:value,data:p5_vonmises_stress:value,data:p6_stress_yy:value,data:p6_vonmises_stress:value,data:p7_stress_yy:value,data:p7_vonmises_stress:value,data:p8_stress_yy:value,data:p8_vonmises_stress:value,data:p9_stress_yy:value,data:p9_vonmises_stress:value
30057.70556,35833.25126,2793.247177,3452.452927,9207.970212,8585.174932,10326.18693,10330.26543,10196.42559,10194.0236,10313.14464,10313.16426,10430.45792,10432.88627,10324.00294,10327.50821,9410.542069,8865.228101,3156.927246,3805.167051
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
35420.17548,39781.60984,3175.108811,3826.706821,9468.474578,8920.396036,10387.76009,10391.27505,10581.24004,10585.49706,10376.9487,10377.09006,10173.36605,10169.20883,10394.15375,10399.56817,8975.860213,8264.931023,2691.398722,3343.086022
30763.50956,36484.79072,3131.859601,3775.427042,9331.152957,8789.614287,10236.68724,10240.18133,10371.72122,10374.74972,10225.93616,10225.98515,10080.7615,10077.77541,10238.72074,10243.05493,9178.537711,8581.411225,3003.231624,3644.107676
35406.28248,39766.50038,2691.736463,3343.541177,8976.124228,8265.213597,10394.32739,10399.77287,10509.6461,10512.47101,10377.12899,10377.30581,10244.76377,10242.11838,10387.93516,10391.48163,9468.702414,8920.670415,3175.481366,3827.230639
31247.14602,37032.35024,2803.922112,3465.407025,9246.135964,8621.172528,10369.16563,10373.24043,10165.37147,10161.44587,10356.12574,10356.19193,10547.74249,10551.70113,10369.03049,10373.38042,9295.0209,8691.625269,3038.615675,3686.236434
30057.70556,35833.25126,2793.247177,3452.452927,9207.970212,8585.174932,10326.18693,10330.26543,10196.42559,10194.0236,10313.14464,10313.16426,10430.45792,10432.88627,10324.00294,10327.50821,9410.542069,8865.228101,3156.927246,3805.167051
31222.32272,37004.55457,2804.462095,3466.139206,9246.516651,8621.611385,10369.4256,10373.54682,10384.96758,10385.63132,10356.39476,10356.51368,10327.85648,10327.34433,10369.2912,10373.68776,9295.373689,8692.038589,3039.151493,3686.980622
30763.50956,36484.79072,3003.231624,3644.107676,9178.537711,8581.411225,10238.72074,10243.05493,10080.7615,10077.77541,10225.93616,10225.98515,10371.72122,10374.74972,10236.68724,10240.18133,9331.152957,8789.614287,3131.859601,3775.427042
30046.59848,35820.78451,3157.10899,3805.422648,9410.653296,8865.361937,10324.08834,10327.60885,10358.94744,10359.92128,10313.23262,10313.26941,10267.84256,10266.93368,10326.27194,10330.36554,9208.094794,8585.318498,2793.42387,3452.692545
38370.48439,41422.29572,3222.694056,3883.216702,9618.492265,9063.39067,10552.71245,10556.29883,10747.48685,10751.88952,10541.90682,10542.27626,10336.33226,10332.25632,10566.11358,10572.69968,8667.149554,7877.539689,2431.792892,3075.450277
30057.70556,35833.25126,3156.927246,3805.167051,9410.542069,8865.228101,10324.00294,10327.50821,10430.45792,10432.88627,10313.14464,10313.16426,10196.42559,10194.0236,10326.18693,10330.26543,9207.970212,8585.174932,2793.247177,3452.452927
30046.59848,35820.78451,2793.42387,3452.692545,9208.094794,8585.318498,10326.27194,10330.36554,10267.84256,10266.93368,10313.23262,10313.26941,10358.94744,10359.92128,10324.08834,10327.60885,9410.653296,8865.361937,3157.10899,3805.422648
35406.28248,39766.50038,3175.481366,3827.230639,9468.702414,8920.670415,10387.93516,10391.48163,10509.6461,10512.47101,10377.12899,10377.30581,10244.76377,10242.11838,10394.32739,10399.77287,8976.124228,8265.213597,2691.736463,3343.541177
36213.90918,40641.93885,2740.104703,3402.584698,9149.585769,8426.961416,10596.04553,10601.61984,10578.25667,10578.47858,10578.69619,10579.10048,10578.25667,10578.47858,10596.04553,10601.61984,9149.585769,8426.961416,2740.104703,3402.584698
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10112.98669,10111.5165,10184.14021,10184.13252,10255.79366,10257.27707,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
38970.1414,42053.23085,2460.836693,3111.527933,8779.899938,7980.61008,10705.50671,10712.18407,10841.0286,10844.53731,10681.04296,10681.47613,10520.58229,10517.49613,10694.19245,10698.41257,9535.37753,8894.413924,2886.424681,3565.787564
35420.17548,39781.60984,2691.398722,3343.086022,8975.860213,8264.931023,10394.15375,10399.56817,10173.36605,10169.20883,10376.9487,10377.09006,10581.24004,10585.49706,10387.76009,10391.27505,9468.474578,8920.396036,3175.108811,3826.706821
35984.65871,40393.65229,2723.110893,3381.7239,9091.257592,8372.459697,10528.58081,10534.01759,10261.9321,10256.83014,10511.19974,10511.35032,10761.5535,10766.72822,10524.33181,10528.42633,9384.077809,8751.380774,2842.877755,3512.741118
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
35406.28248,39766.50038,2691.736463,3343.541177,8976.124228,8265.213597,10394.32739,10399.77287,10509.6461,10512.47101,10377.12899,10377.30581,10244.76377,10242.11838,10387.93516,10391.48163,9468.702414,8920.670415,3175.481366,3827.230639
38370.48439,41422.29572,2431.792892,3075.450277,8667.149554,7877.539689,10566.11358,10572.69968,10336.33226,10332.25632,10541.90682,10542.27626,10747.48685,10751.88952,10552.71245,10556.29883,9618.492265,9063.39067,3222.694056,3883.216702
35875.8886,40275.69662,2889.155503,3557.621439,9462.299924,8863.918874,10500.74696,10504.37286,10657.47092,10661.00469,10488.88275,10489.03405,10320.75404,10317.35503,10506.25577,10511.71835,9072.212268,8354.747716,2718.14988,3375.724581
30502.81515,36341.0078,2826.933684,3493.446817,9326.044581,8696.675975,10458.87381,10463.00093,10445.80335,10445.85999,10445.71653,10445.79623,10445.80335,10445.85999,10458.87381,10463.00093,9326.044581,8696.675975,2826.933684,3493.446817
35420.17548,39781.60984,3175.108811,3826.706821,9468.474578,8920.396036,10387.76009,10391.27505,10581.24004,10585.49706,10376.9487,10377.09006,10173.36605,10169.20883,10394.15375,10399.56817,8975.860213,8264.931023,2691.398722,3343.086022
35420.17548,39781.60984,3175.108811,3826.706821,9468.474578,8920.396036,10387.76009,10391.27505,10581.24004,10585.49706,10376.9487,10377.09006,10173.36605,10169.20883,10394.15375,10399.56817,8975.860213,8264.931023,2691.398722,3343.086022
30752.45617,36472.40901,3003.471177,3644.44059,9178.694883,8581.595259,10238.83637,10243.19105,10152.12403,10150.63975,10226.05553,10226.12777,10300.23303,10301.81196,10236.80308,10240.31776,9331.30434,8789.796426,3132.107896,3775.776404
30763.50956,36484.79072,3003.231624,3644.107676,9178.537711,8581.411225,10238.72074,10243.05493,10371.72122,10374.74972,10225.93616,10225.98515,10080.7615,10077.77541,10236.68724,10240.18133,9331.152957,8789.614287,3131.859601,3775.427042
35406.28248,39766.50038,2691.736463,3343.541177,8976.124228,8265.213597,10394.32739,10399.77287,10244.76377,10242.11838,10377.12899,10377.30581,10509.6461,10512.47101,10387.93516,10391.48163,9468.702414,8920.670415,3175.481366,3827.230639
35984.65871,40393.65229,2842.877755,3512.741118,9384.077809,8751.380774,10524.33181,10528.42633,10761.5535,10766.72822,10511.19974,10511.35032,10261.9321,10256.83014,10528.58081,10534.01759,9091.257592,8372.459697,2723.110893,3381.7239
31222.32272,37004.55457,2804.462095,3466.139206,9246.516651,8621.611385,10369.4256,10373.54682,10327.85648,10327.34433,10356.39476,10356.51368,10384.96758,10385.63132,10369.2912,10373.68776,9295.373689,8692.038589,3039.151493,3686.980622
35572.58865,39946.8157,3056.98959,3708.283065,9353.227834,8746.843982,10433.93637,10438.38046,10479.19951,10480.56039,10421.08045,10421.35817,10362.5266,10361.47436,10438.28369,10443.77929,9013.995197,8300.543921,2702.475954,3356.681227
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
35420.17548,39781.60984,3175.108811,3826.706821,9468.474578,8920.396036,10387.76009,10391.27505,10173.36605,10169.20883,10376.9487,10377.09006,10581.24004,10585.49706,10394.15375,10399.56817,8975.860213,8264.931023,2691.398722,3343.086022
35984.65871,40393.65229,2842.877755,3512.741118,9384.077809,8751.380774,10524.33181,10528.42633,10761.5535,10766.72822,10511.19974,10511.35032,10261.9321,10256.83014,10528.58081,10534.01759,9091.257592,8372.459697,2723.110893,3381.7239
30057.70556,35833.25126,2793.247177,3452.452927,9207.970212,8585.174932,10326.18693,10330.26543,10196.42559,10194.0236,10313.14464,10313.16426,10430.45792,10432.88627,10324.00294,10327.50821,9410.542069,8865.228101,3156.927246,3805.167051
39007.20459,42092.74878,2885.288512,3564.248655,9534.5738,8893.485577,10693.63857,10697.75674,11004.40386,11011.12028,10680.47062,10680.78885,10357.87364,10351.32103,10704.95894,10711.53586,8778.995538,7979.802731,2459.873327,3110.256331
38370.48439,41422.29572,3222.694056,3883.216702,9618.492265,9063.39067,10552.71245,10556.29883,10747.48685,10751.88952,10541.90682,10542.27626,10336.33226,10332.25632,10566.11358,10572.69968,8667.149554,7877.539689,2431.792892,3075.450277
35615.11929,39993.06621,2701.443782,3355.290425,9013.188416,8299.680162,10437.75263,10443.15274,10699.3539,10705.11692,10420.52914,10420.69797,10142.98048,10137.2812,10433.40193,10437.74956,9352.505135,8745.996611,3055.891219,3706.757918
30763.50956,36484.79072,3003.231624,3644.107676,9178.537711,8581.411225,10238.72074,10243.05493,10371.72122,10374.74972,10225.93616,10225.98515,10080.7615,10077.77541,10236.68724,10240.18133,9331.152957,8789.614287,3131.859601,3775.427042
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
31222.32272,37004.55457,3039.151493,3686.980622,9295.373689,8692.038589,10369.2912,10373.68776,10384.96758,10385.63132,10356.39476,10356.51368,10327.85648,10327.34433,10369.4256,10373.54682,9246.516651,8621.611385,2804.462095,3466.139206
35406.28248,39766.50038,2691.736463,3343.541177,8976.124228,8265.213597,10394.32739,10399.77287,10509.6461,10512.47101,10377.12899,10377.30581,10244.76377,10242.11838,10387.93516,10391.48163,9468.702414,8920.670415,3175.481366,3827.230639
35406.28248,39766.50038,2691.736463,3343.541177,8976.124228,8265.213597,10394.32739,10399.77287,10509.6461,10512.47101,10377.12899,10377.30581,10244.76377,10242.11838,10387.93516,10391.48163,9468.702414,8920.670415,3175.481366,3827.230639
38386.97477,41439.88156,3222.171688,3882.482763,9618.172454,9063.004938,10552.4659,10556.00711,10264.90763,10259.30716,10541.6531,10541.97193,10819.20042,10825.01373,10565.87089,10572.41289,8666.746262,7877.179793,2431.362263,3074.881633
31247.14602,37032.35024,3038.615675,3686.236434,9295.0209,8691.625269,10369.03049,10373.38042,10165.37147,10161.44587,10356.12574,10356.19193,10547.74249,10551.70113,10369.16563,10373.24043,9246.135964,8621.172528,2803.922112,3465.407025
39276.4657,41456.56531,2976.386552,3663.335668,9767.178789,9153.046596,10839.98022,10843.67599,10500.87412,10494.38884,10828.19083,10828.83351,11155.8482,11162.8085,10862.6785,10869.2369,8427.051476,7690.489936,2260.370868,2892.90126
38386.97477,41439.88156,2431.362263,3074.881633,8666.746262,7877.179793,10565.87089,10572.41289,10819.20042,10825.01373,10541.6531,10541.97193,10264.90763,10259.30716,10552.4659,10556.00711,9618.172454,9063.004938,3222.171688,3882.482763
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10112.98669,10111.5165,10184.14021,10184.13252,10255.79366,10257.27707,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
35953.44806,40359.71796,2843.68798,3513.839141,9384.650485,8752.041438,10524.72489,10528.8905,10424.53714,10422.87206,10511.60623,10511.8373,10598.49577,10600.41462,10528.97252,10534.47999,9091.849849,8373.093872,2723.866378,3382.741526
30895.42361,36634.49785,3015.242433,3658.515859,9216.649944,8617.54821,10281.22771,10285.61726,10268.38524,10268.48298,10268.45685,10268.61756,10268.38524,10268.48298,10281.22771,10285.61726,9216.649944,8617.54821,3015.242433,3658.515859
30046.59848,35820.78451,2793.42387,3452.692545,9208.094794,8585.318498,10326.27194,10330.36554,10358.94744,10359.92128,10313.23262,10313.26941,10267.84256,10266.93368,10324.08834,10327.60885,9410.653296,8865.361937,3157.10899,3805.422648
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
30763.50956,36484.79072,3003.231624,3644.107676,9178.537711,8581.411225,10238.72074,10243.05493,10371.72122,10374.74972,10225.93616,10225.98515,10080.7615,10077.77541,10236.68724,10240.18133,9331.152957,8789.614287,3131.859601,3775.427042
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10112.98669,10111.5165,10184.14021,10184.13252,10255.79366,10257.27707,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
35953.44806,40359.71796,2843.68798,3513.839141,9384.650485,8752.041438,10524.72489,10528.8905,10598.49577,10600.41462,10511.60623,10511.8373,10424.53714,10422.87206,10528.97252,10534.47999,9091.849849,8373.093872,2723.866378,3382.741526
30046.59848,35820.78451,2793.42387,3452.692545,9208.094794,8585.318498,10326.27194,10330.36554,10267.84256,10266.93368,10313.23262,10313.26941,10358.94744,10359.92128,10324.08834,10327.60885,9410.653296,8865.361937,3157.10899,3805.422648
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
31155.18713,36928.4034,3032.967564,3679.56106,9275.774678,8673.448605,10347.43541,10351.80129,10444.60611,10446.90389,10334.52636,10334.57925,10224.90244,10222.66837,10346.31814,10349.91905,9323.489495,8732.343833,2849.335472,3509.333304
39332.14954,42434.89308,2473.715402,3127.396179,8834.693933,8030.7435,10774.21644,10780.7789,11161.51557,11169.98855,10749.6786,10750.06549,10340.12536,10331.77132,10767.1632,10772.62133,9295.919957,8563.215521,2778.951123,3449.680011
30057.70556,35833.25126,2793.247177,3452.452927,9207.970212,8585.174932,10326.18693,10330.26543,10196.42559,10194.0236,10313.14464,10313.16426,10430.45792,10432.88627,10324.00294,10327.50821,9410.542069,8865.228101,3156.927246,3805.167051
30752.45617,36472.40901,3003.471177,3644.44059,9178.694883,8581.595259,10238.83637,10243.19105,10152.12403,10150.63975,10226.05553,10226.12777,10300.23303,10301.81196,10236.80308,10240.31776,9331.30434,8789.796426,3132.107896,3775.776404
35875.8886,40275.69662,2889.155503,3557.621439,9462.299924,8863.918874,10500.74696,10504.37286,10657.47092,10661.00469,10488.88275,10489.03405,10320.75404,10317.35503,10506.25577,10511.71835,9072.212268,8354.747716,2718.14988,3375.724581
35406.28248,39766.50038,2691.736463,3343.541177,8976.124228,8265.213597,10394.32739,10399.77287,10509.6461,10512.47101,10377.12899,10377.30581,10244.76377,10242.11838,10387.93516,10391.48163,9468.702414,8920.670415,3175.481366,3827.230639
35406.28248,39766.50038,2691.736463,3343.541177,8976.124228,8265.213597,10394.32739,10399.77287,10244.76377,10242.11838,10377.12899,10377.30581,10509.6461,10512.47101,10387.93516,10391.48163,9468.702414,8920.670415,3175.481366,3827.230639
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
35420.17548,39781.60984,3175.108811,3826.706821,9468.474578,8920.396036,10387.76009,10391.27505,10173.36605,10169.20883,10376.9487,10377.09006,10581.24004,10585.49706,10394.15375,10399.56817,8975.860213,8264.931023,2691.398722,3343.086022
30527.75895,36368.99414,2826.538463,3492.911104,9325.765041,8696.353699,10458.68208,10462.77485,10608.65227,10612.01539,10445.51821,10445.55893,10283.17017,10279.83273,10458.68208,10462.77485,9325.765041,8696.353699,2826.538463,3492.911104
35420.17548,39781.60984,3175.108811,3826.706821,9468.474578,8920.396036,10387.76009,10391.27505,10173.36605,10169.20883,10376.9487,10377.09006,10581.24004,10585.49706,10394.15375,10399.56817,8975.860213,8264.931023,2691.398722,3343.086022
30895.42361,36634.49785,3015.242433,3658.515859,9216.649944,8617.54821,10281.22771,10285.61726,10268.38524,10268.48298,10268.45685,10268.61756,10268.38524,10268.48298,10281.22771,10285.61726,9216.649944,8617.54821,3015.242433,3658.515859
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
38370.48439,41422.29572,3222.694056,3883.216702,9618.492265,9063.39067,10552.71245,10556.29883,10747.48685,10751.88952,10541.90682,10542.27626,10336.33226,10332.25632,10566.11358,10572.69968,8667.149554,7877.539689,2431.792892,3075.450277
31155.18713,36928.4034,2849.335472,3509.333304,9323.489495,8732.343833,10346.31814,10349.91905,10444.60611,10446.90389,10334.52636,10334.57925,10224.90244,10222.66837,10347.43541,10351.80129,9275.774678,8673.448605,3032.967564,3679.56106
30752.45617,36472.40901,3003.471177,3644.44059,9178.694883,8581.595259,10238.83637,10243.19105,10300.23303,10301.81196,10226.05553,10226.12777,10152.12403,10150.63975,10236.80308,10240.31776,9331.30434,8789.796426,3132.107896,3775.776404
30057.70556,35833.25126,2793.247177,3452.452927,9207.970212,8585.174932,10326.18693,10330.26543,10196.42559,10194.0236,10313.14464,10313.16426,10430.45792,10432.88627,10324.00294,10327.50821,9410.542069,8865.228101,3156.927246,3805.167051
35406.28248,39766.50038,2691.736463,3343.541177,8976.124228,8265.213597,10394.32739,10399.77287,10509.6461,10512.47101,10377.12899,10377.30581,10244.76377,10242.11838,10387.93516,10391.48163,9468.702414,8920.670415,3175.481366,3827.230639
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
31222.32272,37004.55457,2804.462095,3466.139206,9246.516651,8621.611385,10369.4256,10373.54682,10327.85648,10327.34433,10356.39476,10356.51368,10384.96758,10385.63132,10369.2912,10373.68776,9295.373689,8692.038589,3039.151493,3686.980622
35984.65871,40393.65229,2723.110893,3381.7239,9091.257592,8372.459697,10528.58081,10534.01759,10261.9321,10256.83014,10511.19974,10511.35032,10761.5535,10766.72822,10524.33181,10528.42633,9384.077809,8751.380774,2842.877755,3512.741118
30752.45617,36472.40901,3003.471177,3644.44059,9178.694883,8581.595259,10238.83637,10243.19105,10300.23303,10301.81196,10226.05553,10226.12777,10152.12403,10150.63975,10236.80308,10240.31776,9331.30434,8789.796426,3132.107896,3775.776404
30046.59848,35820.78451,2793.42387,3452.692545,9208.094794,8585.318498,10326.27194,10330.36554,10358.94744,10359.92128,10313.23262,10313.26941,10267.84256,10266.93368,10324.08834,10327.60885,9410.653296,8865.361937,3157.10899,3805.422648
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
35420.17548,39781.60984,2691.398722,3343.086022,8975.860213,8264.931023,10394.15375,10399.56817,10581.24004,10585.49706,10376.9487,10377.09006,10173.36605,10169.20883,10387.76009,10391.27505,9468.474578,8920.396036,3175.108811,3826.706821
30895.42361,36634.49785,3015.242433,3658.515859,9216.649944,8617.54821,10281.22771,10285.61726,10268.38524,10268.48298,10268.45685,10268.61756,10268.38524,10268.48298,10281.22771,10285.61726,9216.649944,8617.54821,3015.242433,3658.515859
38747.82561,40909.17984,3270.426702,3939.795614,9770.172755,9207.957901,10719.58706,10723.22149,10999.88997,11006.16521,10708.88517,10709.56949,10417.64862,10411.93009,10742.99869,10749.51896,8337.40913,7609.256266,2238.749711,2865.725394
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
30752.45617,36472.40901,3132.107896,3775.776404,9331.30434,8789.796426,10236.80308,10240.31776,10152.12403,10150.63975,10226.05553,10226.12777,10300.23303,10301.81196,10238.83637,10243.19105,9178.694883,8581.595259,3003.471177,3644.44059
30046.59848,35820.78451,3157.10899,3805.422648,9410.653296,8865.361937,10324.08834,10327.60885,10358.94744,10359.92128,10313.23262,10313.26941,10267.84256,10266.93368,10326.27194,10330.36554,9208.094794,8585.318498,2793.42387,3452.692545
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
38552.48244,41613.63299,3102.453056,3762.459368,9502.185321,8887.910732,10600.49425,10605.00464,10718.64028,10721.60034,10587.61047,10588.09625,10455.75344,10453.28444,10611.84786,10618.50443,8704.31178,7911.501467,2441.642035,3087.714001
35420.17548,39781.60984,2691.398722,3343.086022,8975.860213,8264.931023,10394.15375,10399.56817,10173.36605,10169.20883,10376.9487,10377.09006,10581.24004,10585.49706,10387.76009,10391.27505,9468.474578,8920.396036,3175.108811,3826.706821
39007.20459,42092.74878,2459.873327,3110.256331,8778.995538,7979.802731,10704.95894,10711.53586,10357.87364,10351.32103,10680.47062,10680.78885,11004.40386,11011.12028,10693.63857,10697.75674,9534.5738,8893.485577,2885.288512,3564.248655
30752.45617,36472.40901,3132.107896,3775.776404,9331.30434,8789.796426,10236.80308,10240.31776,10152.12403,10150.63975,10226.05553,10226.12777,10300.23303,10301.81196,10238.83637,10243.19105,9178.694883,8581.595259,3003.471177,3644.44059
39255.93189,42353.63505,2781.123219,3452.603517,9297.622972,8565.04205,10768.29527,10773.96326,10823.30792,10825.14369,10750.8522,10751.47657,10676.93483,10675.75278,10775.33996,10782.11032,8836.547378,8032.39839,2475.690635,3130.002915
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10112.98669,10111.5165,10184.14021,10184.13252,10255.79366,10257.27707,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
25436.96015,32345.47186,2838.281132,3495.924672,9284.995277,8695.86286,10303.49069,10307.0816,10256.19581,10255.46711,10291.68854,10291.67703,10327.64854,10328.39425,10302.55807,10306.06521,9391.066603,8846.692478,3150.859737,3797.991035
25115.33213,31957.69253,3120.024989,3761.423868,9293.236935,8753.532599,10194.94206,10198.43938,10184.36991,10184.38502,10184.17926,10184.17914,10184.36991,10184.38502,10194.94206,10198.43938,9293.236935,8753.532599,3120.024989,3761.423868
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10112.98669,10111.5165,10184.14021,10184.13252,10255.79366,10257.27707,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
30752.45617,36472.40901,3132.107896,3775.776404,9331.30434,8789.796426,10236.80308,10240.31776,10152.12403,10150.63975,10226.05553,10226.12777,10300.23303,10301.81196,10238.83637,10243.19105,9178.694883,8581.595259,3003.471177,3644.44059
25436.96015,32345.47186,3150.859737,3797.991035,9391.066603,8846.692478,10302.55807,10306.06521,10256.19581,10255.46711,10291.68854,10291.67703,10327.64854,10328.39425,10303.49069,10307.0816,9284.995277,8695.86286,2838.281132,3495.924672
25436.96015,32345.47186,3150.859737,3797.991035,9391.066603,8846.692478,10302.55807,10306.06521,10327.64854,10328.39425,10291.68854,10291.67703,10256.19581,10255.46711,10303.49069,10307.0816,9284.995277,8695.86286,2838.281132,3495.924672
36213.90918,40641.93885,2740.104703,3402.584698,9149.585769,8426.961416,10596.04553,10601.61984,10578.25667,10578.47858,10578.69619,10579.10048,10578.25667,10578.47858,10596.04553,10601.61984,9149.585769,8426.961416,2740.104703,3402.584698
39332.14954,42434.89308,2473.715402,3127.396179,8834.693933,8030.7435,10774.21644,10780.7789,10340.12536,10331.77132,10749.6786,10750.06549,11161.51557,11169.98855,10767.1632,10772.62133,9295.919957,8563.215521,2778.951123,3449.680011
38552.48244,41613.63299,3102.453056,3762.459368,9502.185321,8887.910732,10600.49425,10605.00464,10455.75344,10453.28444,10587.61047,10588.09625,10718.64028,10721.60034,10611.84786,10618.50443,8704.31178,7911.501467,2441.642035,3087.714001
40809.9922,43987.0232,2313.3121,2959.514834,8640.335869,7883.219652,11145.75389,11152.69596,11194.99942,11197.38672,11110.77279,11111.99723,11023.24187,11022.09591,11135.57025,11142.62151,9127.842607,8298.857075,2550.513832,3222.877266
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10112.98669,10111.5165,10184.14021,10184.13252,10255.79366,10257.27707,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
30527.75895,36368.99414,2826.538463,3492.911104,9325.765041,8696.353699,10458.68208,10462.77485,10283.17017,10279.83273,10445.51821,10445.55893,10608.65227,10612.01539,10458.68208,10462.77485,9325.765041,8696.353699,2826.538463,3492.911104
35984.65871,40393.65229,2842.877755,3512.741118,9384.077809,8751.380774,10524.33181,10528.42633,10761.5535,10766.72822,10511.19974,10511.35032,10261.9321,10256.83014,10528.58081,10534.01759,9091.257592,8372.459697,2723.110893,3381.7239
25123.8347,31967.63245,3119.943739,3761.309526,9293.187394,8753.473019,10194.90417,10198.3948,10255.79366,10257.27707,10184.14021,10184.13252,10112.98669,10111.5165,10194.90417,10198.3948,9293.187394,8753.473019,3119.943739,3761.309526
35420.17548,39781.60984,3175.108811,3826.706821,9468.474578,8920.396036,10387.76009,10391.27505,10173.36605,10169.20883,10376.9487,10377.09006,10581.24004,10585.49706,10394.15375,10399.56817,8975.860213,8264.931023,2691.398722,3343.086022
